Player,Tm,Att,Yds,TD,Succ%,Y/A,Y/G,Fmb,-9999
Javonte Williams,DEN,38,138,0,44.7,3.6,34.5,0,WillJa10
Dalvin Cook,NYJ,36,97,0,38.9,2.7,19.4,1,CookDa01
Chuba Hubbard,CAR,35,154,0,57.1,4.4,30.8,0,HubbCh01
Jaylen Warren,PIT,34,124,0,44.1,3.6,24.8,1,WarrJa01
Alvin Kamara,NOR,33,131,1,48.5,4.0,65.5,0,KamaAl00
Cam Akers,2TM,32,84,1,37.5,2.6,28.0,0,AkerCa00
Matt Breida,NYG,30,82,1,36.7,2.7,16.4,1,BreiMa00
Trevor Lawrence,JAX,30,132,0,40.0,4.4,26.4,6,LawrTr00
Saquon Barkley,NYG,29,114,1,51.7,3.9,57.0,0,BarkSa00
Justice Hill,BAL,29,115,3,51.7,4.0,28.8,1,HillJu00
Nick Chubb,CLE,28,170,0,57.1,6.1,85.0,0,ChubNi00
Clyde Edwards-Helaire,KAN,28,93,1,35.7,3.3,18.6,0,EdwaCl00
Joshua Dobbs,ARI,27,142,1,51.9,5.3,28.4,5,DobbJo00
Devin Singletary,HOU,27,95,0,40.7,3.5,19.0,0,SingDe00
Tyjae Spears,TEN,27,156,1,63.0,5.8,31.2,0,SpeaTy00
Jamaal Williams,NOR,27,74,0,40.7,2.7,37.0,1,WillJa06
Rico Dowdle,DAL,25,95,0,60.0,3.8,19.0,0,DowdRi01
Roschon Johnson,CHI,25,122,1,48.0,4.9,24.4,0,JohnRo07
Anthony Richardson,IND,25,136,4,64.0,5.4,34.0,3,RichAn03
Samaje Perine,DEN,24,88,0,37.5,3.7,17.6,1,PeriSa00
Taysom Hill,NOR,23,120,0,65.2,5.2,24.0,0,HillTa00
Patrick Mahomes,KAN,23,154,0,60.9,6.7,30.8,1,MahoPa00
Baker Mayfield,TAM,23,61,0,39.1,2.7,15.3,1,MayfBa00
Damien Harris,BUF,22,93,1,63.6,4.2,18.6,0,HarrDa06
Jaleel McLaughlin,DEN,22,160,1,50.0,7.3,32.0,0,McLaJa00
Kendre Miller,NOR,22,74,0,31.8,3.4,24.7,0,MillKe01
Zach Charbonnet,SEA,21,104,0,57.1,5.0,26.0,0,CharZa00
Tony Jones,NOR,21,70,2,47.6,3.3,17.5,0,JoneTo04
Josh Allen,BUF,20,120,3,70.0,6.0,24.0,2,AlleJo02
Justin Herbert,LAC,20,55,3,40.0,2.8,13.8,1,HerbJu00
Deuce Vaughn,DAL,20,40,0,10.0,2.0,8.0,0,VaugDe00
Latavius Murray,BUF,19,83,2,52.6,4.4,16.6,0,MurrLa00
Jordan Love,GNB,18,109,2,50.0,6.1,21.8,2,LoveJo03
Desmond Ridder,ATL,18,57,2,38.9,3.2,11.4,3,RiddDe00
Russell Wilson,DEN,18,119,0,61.1,6.6,23.8,3,WilsRu00
Austin Ekeler,LAC,16,117,1,75.0,7.3,117.0,0,EkelAu00
Jimmy Garoppolo,LVR,16,23,0,25.0,1.4,5.8,1,GaroJi00
Jordan Mason,SFO,16,90,1,75.0,5.6,18.0,0,MasoJo00
Elijah Mitchell,SFO,16,52,0,25.0,3.3,26.0,0,MitcEl00
Kenny Pickett,PIT,16,12,0,31.3,0.8,2.4,0,PickKe00
Deebo Samuel,SFO,16,84,1,68.8,5.3,16.8,1,SamuDe00
Tank Bigsby,JAX,15,41,2,46.7,2.7,8.2,1,BigsTa00
Sam Howell,WAS,15,101,1,46.7,6.7,20.2,2,HoweSa00
Mac Jones,NWE,15,60,0,60.0,4.0,12.0,2,JoneMa05
C.J. Stroud,HOU,15,53,0,60.0,3.5,10.6,3,StroCJ00
Sean Tucker,TAM,15,23,0,26.7,1.5,5.8,0,TuckSe00
Deshaun Watson,CLE,15,83,1,66.7,5.5,27.7,4,WatsDe00
Zach Wilson,NYJ,15,83,0,60.0,5.5,16.6,3,WilsZa00
Emari Demercado,ARI,14,48,1,35.7,3.4,9.6,0,DemeEm00
Jared Goff,DET,14,12,2,28.6,0.9,2.4,0,GoffJa00
Aaron Jones,GNB,14,59,1,71.4,4.2,29.5,0,JoneAa00
Craig Reynolds,DET,14,74,1,57.1,5.3,14.8,0,ReynCr00
Antonio Gibson,WAS,13,54,0,38.5,4.2,10.8,3,GibsAn00
Melvin Gordon,BAL,13,53,0,23.1,4.1,26.5,0,GordMe00
Deon Jackson,IND,13,14,0,15.4,1.1,7.0,2,JackDe02
Pierre Strong,CLE,13,77,1,53.8,5.9,19.3,0,StroPi00
Tua Tagovailoa,MIA,13,21,0,15.4,1.6,4.2,5,TagoTu00
Joe Burrow,CIN,12,10,0,33.3,0.8,2.0,1,BurrJo01
Eric Gray,NYG,12,25,0,25.0,2.1,5.0,2,GrayEr01
Keaontay Ingram,ARI,12,15,0,16.7,1.3,5.0,0,IngrKe01
Dak Prescott,DAL,12,45,0,50.0,3.8,9.0,0,PresDa01
Brock Purdy,SFO,12,24,2,50.0,2.0,4.8,4,PurdBr00
Ryan Tannehill,TEN,12,40,1,33.3,3.3,8.0,3,TannRy00
Laviska Shenault Jr.,CAR,11,53,0,54.5,4.8,10.6,0,ShenLa00
Patrick Taylor,GNB,11,31,0,18.2,2.8,7.8,0,TaylPa01
Derek Carr,NOR,10,5,0,30.0,0.5,1.0,1,CarrDe02
Kareem Hunt,CLE,10,25,0,50.0,2.5,12.5,0,HuntKa00
Ronnie Rivers,LAR,10,48,0,60.0,4.8,9.6,0,RiveRo01
Matthew Stafford,LAR,10,49,0,50.0,4.9,9.8,0,StafMa00
Gary Brightwell,NYG,9,19,0,22.2,2.1,3.8,0,BrigGa00
Chris Brooks,MIA,9,66,0,33.3,7.3,13.2,0,BrooCh00
Ke'Shawn Vaughn,TAM,9,16,0,22.2,1.8,8.0,0,VaugKe00
Khari Blasingame,CHI,8,26,0,25.0,3.3,5.2,0,BlasKh00
Ty Chandler,MIN,8,42,0,50.0,5.3,8.4,0,ChanTy01
